id,price,raw_price_text,product_name,slug,merchant_name,price_type
121090,175.56,"175.56 DH","Stick Fissures Et Crevasses 22g Bariéderm-Cica Peaux Fragilisees Et Irritees Uriage",stick-fissures-et-crevasses-22g-bariederm-cica-peaux-fragilisees-et-irritees-uriage,"AtelierPara Maroc",has_dot
122150,175.63,"175.63 DH","Soin Hydratant Texture Légère 40ml Hydrabio Peaux Sensibles Normales à Mixtes Bioderma",soin-hydratant-texture-legere-40ml-hydrabio-peaux-sensibles-normales-a-mixtes-bioderma,"Para La Gloire",has_dot
127552,175.66,"175.66 DH","SanDisk Ultra Dual Drive lecteur USB flash 128 Go USB Type-A / 3.2 Gen 1 (3.1 Gen 1) Noir, Argent",san-disk-ultra-dual-drive-lecteur-usb-flash-128-go-usb-type-a-3-2-gen-1-3-1-gen-1-noir-argent,Technoplace,has_dot
120692,175.75,"175.75 DH","Baume Apres-rasage Apaisant Sensibaume 75ml Homme Vichy",baume-apres-rasage-apaisant-sensibaume-75ml-homme-vichy,"New Era Parapharmacie",has_dot
122153,176.14,"176.14 DH","Uriage Dépiderm Anti-Brown Spot Targeted Care 15 ml",uriage-depiderm-anti-brown-spot-targeted-care-15-ml,"Para La Gloire",has_dot
121482,176.4,"176.40 DH","Sérum effet lifting 5 ampoules x 2ml Instant Flash Effet lifting immédiat Isdin",serum-effet-lifting-5-ampoules-x-2ml-instant-flash-effet-lifting-immediat-isdin,"New Era Parapharmacie",has_dot
121518,176.55,"176.55 DH","Masque ultra-hydratant visage 75ml Hydrabio Peaux sèches Bioderma",masque-ultra-hydratant-visage-75ml-hydrabio-peaux-seches-bioderma,"UNIVERS PARADISCOUNT Maroc",has_dot
121587,176.55,"176.55 DH","Soin peeling de nuit doux 40ml Sebium Peaux mixtes à grasses Bioderma",soin-peeling-de-nuit-doux-40ml-sebium-peaux-mixtes-a-grasses-bioderma,"UNIVERS PARADISCOUNT Maroc",has_dot
144484,176.88,"176.88 DH","Shampooing Traitant Peaux A tendance Psoriasique 200ml Kertyol P.S.O Ducray",shampooing-traitant-peaux-a-tendance-psoriasique-200ml-kertyol-p-s-o-ducray,"AtelierPara Maroc",has_dot
121980,177.1,"177.10 DH","Emulsion Apaisante Spf30 40ml Antirougeurs Peaux Sensibles Avène",emulsion-apaisante-spf30-40ml-antirougeurs-peaux-sensibles-avene,"Para La Gloire",has_dot
120333,177.21,"177.21 DH","Philips Avent Learning bottle 150 ml",philips-avent-learning-bottle-150-ml,"UNIVERS PARADISCOUNT Maroc",has_dot
120881,177.21,"177.21 DH","Dermedic Capilarte 300 ml",dermedic-capilarte-300-ml,"AtelierPara Maroc",has_dot
120748,177.22,"177.22 DH","Salerm Cosmetics Shampoing argán 300 ml",salerm-cosmetics-shampoing-argan-300-ml,"AtelierPara Maroc",has_dot
120335,177.65,"177.65 DH","Lansinoh Care 60 ml",lansinoh-care-60-ml,"GoPara Maroc",has_dot
120693,177.92,"177.92 DH","Baume Apres-rasage Apaisant Sensibaume 75ml Homme Vichy",baume-apres-rasage-apaisant-sensibaume-75ml-homme-vichy,"AtelierPara Maroc",has_dot
120890,178.1,"178.10 DH","Shampooing Antipelliculaire Intensif Ds 200ml Cystiphane Biorga",shampooing-antipelliculaire-intensif-ds-200ml-cystiphane-biorga,"AtelierPara Maroc",has_dot
143947,178.2,"178.20 DH","Kuora Eau Micellaire à l'Aloe Vera 250ml",kuora-eau-micellaire-a-l-aloe-vera-250ml,"AtelierPara Maroc",has_dot
119392,178.21,"178.21 DH","Sesderma Sensyses Cleanser Lightening 200 ml",sesderma-sensyses-cleanser-lightening-200-ml,"AtelierPara Maroc",has_dot
121483,178.5,"178.50 DH","Sérum effet lifting 5 ampoules x 2ml Instant Flash Effet lifting immédiat Isdin",serum-effet-lifting-5-ampoules-x-2ml-instant-flash-effet-lifting-immediat-isdin,"GoPara Maroc",has_dot
144610,178.5,"178.50 DH","Eau Thermale Essence D'eau Eclat 100ml Eau thermale et Hydratation Uriage",eau-thermale-essence-d-eau-eclat-100ml-eau-thermale-et-hydratation-uriage,"New Era Parapharmacie",has_dot
117444,178.61,"178.61 DH","Logitech M240 souris Ambidextre Bluetooth",logitech-m240-souris-ambidextre-bluetooth,Technoplace,has_dot
121109,178.67,"178.67 DH","Baume Relipidant Triple Réparation 200ml Lipikar Peaux tendance eczema atopique La Roche-Posay",baume-relipidant-triple-reparation-200ml-lipikar-peaux-tendance-eczema-atopique-la-roche-posay,"GoPara Maroc",has_dot
141601,178.67,"178.67 DH","TP-Link TL-WR845N routeur sans fil Fast Ethernet Monobande (2,4 GHz) Blanc",tp-link-tl-wr845n-routeur-sans-fil-fast-ethernet-monobande-2-4-g-hz-blanc,Technoplace,has_dot
119035,178.75,"178.75 DH","Vichy Dercos Densi Solutions 200 ml",vichy-dercos-densi-solutions-200-ml,COTEPARA,has_dot
120083,178.75,"178.75 DH","Masque Kera Solutions 200ml Dercos Vichy",masque-kera-solutions-200ml-dercos-vichy,COTEPARA,has_dot
122151,178.86,"178.86 DH","Soin Hydratant Texture Légère 40ml Hydrabio Peaux Sensibles Normales à Mixtes Bioderma",soin-hydratant-texture-legere-40ml-hydrabio-peaux-sensibles-normales-a-mixtes-bioderma,"AtelierPara Maroc",has_dot
120884,179.01,"179.01 DH","Dermedic Capilarte 300 ml",dermedic-capilarte-300-ml,COTEPARA,has_dot
120217,179.1,"179.10 DH","BIBS Overall Bib Sage 1 pcs",bibs-overall-bib-sage-1-pcs,"BebeMaman Maroc",has_dot
120373,179.1,"179.10 DH","Lansinoh Breastfeeding Disposable Breast Pads 60 pcs",lansinoh-breastfeeding-disposable-breast-pads-60-pcs,"New Era Parapharmacie",has_dot
119011,179.2,"179.20 DH","CHI Keratin Silk Infusion 59 ml Femmes",chi-keratin-silk-infusion-59-ml-femmes,"UNIVERS PARADISCOUNT Maroc",has_dot
119448,180.18,"180.18 DH","Solution Micellaire Apaisante 400 ml Placentor Végétal",solution-micellaire-apaisante-400-ml-placentor-vegetal,"UNIVERS PARADISCOUNT Maroc",has_dot
119449,180.19,"180.19 DH","Solution Micellaire Apaisante 400 ml Placentor Végétal",solution-micellaire-apaisante-400-ml-placentor-vegetal,"AtelierPara Maroc",has_dot
144507,180.36,"180.36 DH","Creme Anti-rugosites 10% D'uree Et Acide Salicylique 340g Body SA Peaux Seches Cerave",creme-anti-rugosites-10-d-uree-et-acide-salicylique-340g-body-sa-peaux-seches-cerave,"UNIVERS PARADISCOUNT Maroc",has_dot
122154,180.5,"180.50 DH","Uriage Dépiderm Anti-Brown Spot Targeted Care 15 ml",uriage-depiderm-anti-brown-spot-targeted-care-15-ml,"GoPara Maroc",has_dot
121207,180.68,"180.68 DH","Huile Seche Multi-fonctions 50ml Huile Prodigieuse Visage Corps Et Cheveux Nuxe",huile-seche-multi-fonctions-50ml-huile-prodigieuse-visage-corps-et-cheveux-nuxe,"UNIVERS PARADISCOUNT Maroc",has_dot
120891,180.84,"180.84 DH","Shampooing Antipelliculaire Intensif Ds 200ml Cystiphane Biorga",shampooing-antipelliculaire-intensif-ds-200ml-cystiphane-biorga,"UNIVERS PARADISCOUNT Maroc",has_dot
124713,181.5,"181.50 DH","Logitech H111 Casque Avec fil Arceau Bureau/Centre d'appels Gris",logitech-h111-casque-avec-fil-arceau-bureau-centre-d-appels-gris,Micromad,has_dot
121588,181.87,"181.87 DH","Soin peeling de nuit doux 40ml Sebium Peaux mixtes à grasses Bioderma",soin-peeling-de-nuit-doux-40ml-sebium-peaux-mixtes-a-grasses-bioderma,"GoPara Maroc",has_dot
